Time,Bytes Sent,Bytes Received,ID,Type
1533815933,26.97,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815934,28.93,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815935,25.45,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815936,11.13,0.02,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815937,9.55,0.01,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815938,29.48,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815939,18.1,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815940,25.19,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815941,31.87,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815942,32.25,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815943,38.47,0.05,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815944,111.25,0.15,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815945,80.13,0.11,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815946,39.39,0.05,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815947,30.7,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815948,30.9,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815949,34.25,0.05,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815950,18.53,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815951,22.76,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815952,23.36,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815953,20.68,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815954,26.3,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815955,25.08,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815956,24.71,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815957,18.81,0.02,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815958,16.47,0.02,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815959,29.03,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815960,21.22,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815961,22.1,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815962,23.69,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815963,25.67,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815964,25.9,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815965,25.77,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815966,31.31,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815967,20.37,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815968,27.35,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815969,31.71,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815970,26.18,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815971,26.81,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815972,26.89,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815973,45.78,0.07,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815974,67.87,0.1,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815975,71.77,0.1,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815976,58.72,0.08,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815977,59.44,0.08,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815978,84.56,0.12,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815979,53.63,0.08,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815980,67.87,0.1,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815981,52.63,0.07,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815982,70.8,0.1,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815983,35.36,0.05,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815984,16.88,0.02,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815985,28.99,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815986,27.04,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815987,23.36,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815988,29.85,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815989,24.35,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815990,26.92,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815991,23.48,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815992,24.48,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815993,27.63,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815994,28.87,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815995,29.79,0.04,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
1533815996,26.24,0.03,0078336f2bc14f7a858b5b2dbab99555-stratum0,stratum0
