Time,Bytes Sent,Bytes Received,ID,Type
1533815974,0.07,51.13,0e3785f910624d1485af96722cb4a893-client-test,client
1533815975,0.11,75.2,0e3785f910624d1485af96722cb4a893-client-test,client
1533815976,0.08,57.95,0e3785f910624d1485af96722cb4a893-client-test,client
1533815977,0.08,59.78,0e3785f910624d1485af96722cb4a893-client-test,client
1533815978,0.1,70.63,0e3785f910624d1485af96722cb4a893-client-test,client
1533815979,0.1,69.46,0e3785f910624d1485af96722cb4a893-client-test,client
1533815980,0.09,65.46,0e3785f910624d1485af96722cb4a893-client-test,client
1533815981,0.08,56.73,0e3785f910624d1485af96722cb4a893-client-test,client
1533815982,0.09,61.0,0e3785f910624d1485af96722cb4a893-client-test,client
1533815983,0.09,62.19,0e3785f910624d1485af96722cb4a893-client-test,client
1533815984,0.04,28.38,0e3785f910624d1485af96722cb4a893-client-test,client
1533815985,0.03,20.55,0e3785f910624d1485af96722cb4a893-client-test,client
1533815986,0.03,27.77,0e3785f910624d1485af96722cb4a893-client-test,client
1533815987,0.03,26.17,0e3785f910624d1485af96722cb4a893-client-test,client
1533815988,0.03,25.45,0e3785f910624d1485af96722cb4a893-client-test,client
1533815989,0.04,27.28,0e3785f910624d1485af96722cb4a893-client-test,client
1533815990,0.03,24.71,0e3785f910624d1485af96722cb4a893-client-test,client
1533815991,0.04,29.12,0e3785f910624d1485af96722cb4a893-client-test,client
1533815992,0.03,21.53,0e3785f910624d1485af96722cb4a893-client-test,client
1533815993,0.03,24.71,0e3785f910624d1485af96722cb4a893-client-test,client
1533815994,0.04,30.83,0e3785f910624d1485af96722cb4a893-client-test,client
1533815995,0.04,28.14,0e3785f910624d1485af96722cb4a893-client-test,client
1533815996,0.04,27.88,0e3785f910624d1485af96722cb4a893-client-test,client
1533815997,0.04,30.22,0e3785f910624d1485af96722cb4a893-client-test,client
1533815998,0.04,29.97,0e3785f910624d1485af96722cb4a893-client-test,client
1533815999,0.09,68.79,0e3785f910624d1485af96722cb4a893-client-test,client
1533816000,0.05,37.98,0e3785f910624d1485af96722cb4a893-client-test,client
1533816001,0.04,32.65,0e3785f910624d1485af96722cb4a893-client-test,client
1533816002,0.03,25.73,0e3785f910624d1485af96722cb4a893-client-test,client
1533816003,0.04,31.18,0e3785f910624d1485af96722cb4a893-client-test,client
1533816004,0.03,27.65,0e3785f910624d1485af96722cb4a893-client-test,client
1533816005,0.03,22.88,0e3785f910624d1485af96722cb4a893-client-test,client
1533816006,0.03,24.1,0e3785f910624d1485af96722cb4a893-client-test,client
1533816007,0.03,24.11,0e3785f910624d1485af96722cb4a893-client-test,client
1533816008,0.03,25.59,0e3785f910624d1485af96722cb4a893-client-test,client
1533816009,0.03,22.87,0e3785f910624d1485af96722cb4a893-client-test,client
1533816010,0.03,27.69,0e3785f910624d1485af96722cb4a893-client-test,client
1533816011,0.03,23.13,0e3785f910624d1485af96722cb4a893-client-test,client
1533816012,0.03,21.29,0e3785f910624d1485af96722cb4a893-client-test,client
1533816013,0.03,24.37,0e3785f910624d1485af96722cb4a893-client-test,client
1533816014,0.03,20.66,0e3785f910624d1485af96722cb4a893-client-test,client
1533816015,0.03,23.61,0e3785f910624d1485af96722cb4a893-client-test,client
1533816016,0.03,23.67,0e3785f910624d1485af96722cb4a893-client-test,client
1533816017,0.03,25.94,0e3785f910624d1485af96722cb4a893-client-test,client
1533816018,0.03,22.41,0e3785f910624d1485af96722cb4a893-client-test,client
1533816019,0.04,28.69,0e3785f910624d1485af96722cb4a893-client-test,client
1533816020,0.04,31.02,0e3785f910624d1485af96722cb4a893-client-test,client
1533816021,0.04,28.9,0e3785f910624d1485af96722cb4a893-client-test,client
1533816022,0.03,26.8,0e3785f910624d1485af96722cb4a893-client-test,client
1533816023,0.03,24.38,0e3785f910624d1485af96722cb4a893-client-test,client
1533816024,0.06,45.15,0e3785f910624d1485af96722cb4a893-client-test,client
1533816025,0.06,40.87,0e3785f910624d1485af96722cb4a893-client-test,client
1533816026,0.11,76.34,0e3785f910624d1485af96722cb4a893-client-test,client
